oldId,newId,grade,moduleId,slug,name,description,example,prerequisiteSuggestion,relatedSuggestion,difficulty,status
g6-reason-number-shape,g6-m10-g6-reason-number-shape,6,M10,6-g6-reason-number-shape,数与形规律（连续奇数求和、图形规律）,发现数与形结合的规律。,1+3+5+7=?（答案：16，即4²）,,,1,active
g6-reason-pigeonhole,g6-m10-g6-reason-pigeonhole,6,M10,6-g6-reason-pigeonhole,鸽巢问题（抽屉原理）,运用抽屉原理进行证明。,13个人中至少有几人生肖相同？（答案：2人）,,,1,active
g6-judge-circle,g6-m11-g6-judge-circle,6,M11,6-g6-judge-circle,圆的概念辨析,判断圆的相关概念。,判断：半径是直径的一半。（对）,,,1,active
g6-judge-cyl-cone,g6-m11-g6-judge-cyl-cone,6,M11,6-g6-judge-cyl-cone,圆柱圆锥体积关系,判断等底等高圆柱与圆锥的体积关系。,判断：圆锥体积是圆柱的1/3。（对）,,,1,active
g6-judge-negative,g6-m11-g6-judge-negative,6,M11,6-g6-judge-negative,负数大小比较,比较负数的大小（绝对值大的反而小）。,比较-3和-5。（答案：-3>-5）,,,1,active
g6-judge-percent-ratio,g6-m11-g6-judge-percent-ratio,6,M11,6-g6-judge-percent-ratio,百分数与比的性质,判断百分数与比的性质。,判断：20%=1:5。（对）,,,1,active
g6-judge-chart,g6-m11-g6-judge-chart,6,M11,6-g6-judge-chart,统计图特点辨析,判断各统计图的特点。,判断：条形图表示变化趋势。（错，应为折线图）,,,1,active
g6-choice-negative,g6-m12-g6-choice-negative,6,M12,6-g6-choice-negative,负数比较与数轴,在数轴上比较负数的大小。,-2在-1的（  ）边。（答案：左）,,,1,active
g6-choice-percent,g6-m12-g6-choice-percent,6,M12,6-g6-choice-percent,分数百分数互化与比较,比较分数与百分数。,25%与1/4比较？（答案：相等）,,,1,active
g6-choice-circle,g6-m12-g6-choice-circle,6,M12,6-g6-choice-circle,圆的计算选择题,选择圆的计算正确结果。,d=2的圆周长？（答案：2π）,,,1,active
g6-choice-cyl-cone,g6-m12-g6-choice-cyl-cone,6,M12,6-g6-choice-cyl-cone,圆柱圆锥计算选择题,选择圆柱、圆锥计算正确结果。,r=1、h=3的圆柱体积？（答案：3π）,,,1,active
g6-choice-chart,g6-m12-g6-choice-chart,6,M12,6-g6-choice-chart,统计图选择,选择合适的统计图。,表示各部分占比用？（答案：扇形统计图）,,,1,active
c1-vertical,g6-c1-c1-vertical,6,C1,6-c1-vertical,竖式数字谜,根据竖式中已知的部分数字，推理填出完整的竖式。,□5+3□=82，求出两个□中的数字。,,,5,active
c1-horizontal,g6-c1-c1-horizontal,6,C1,6-c1-horizontal,横式数字谜,在横式中填入合适的数字，使等式成立。,□+□=9，且两个□中的数字不同。,,,5,active
c1-symbol,g6-c1-c1-symbol,6,C1,6-c1-symbol,符号代表数,用图形或符号代表未知的數字进行推理。,△+△=10，△=?（答案：5）,,,5,active
c1-array,g6-c1-c1-array,6,C1,6-c1-array,数阵图,把数填入图中，使每行、每列的和相等。,在三阶数阵中填1-9，使每行每列和都为15。,,,5,active
c1-magic,g6-c1-c1-magic,6,C1,6-c1-magic,幻方,理解幻方的规律并填数。,完成中间为5的三阶幻方。,,,5,active
c2-parity,g6-c2-c2-parity,6,C2,6-c2-parity,奇偶性与运算规律,利用奇偶性判断运算结果的奇偶。,奇数+奇数=?（答案：偶数）,,,5,active
c2-divisible,g6-c2-c2-divisible,6,C2,6-c2-divisible,整除特征（2/3/5/9）,掌握能被2、3、5、9整除的数的特征。,下列各数中能被3整除的是？（答案：123）,,,5,active
c2-prime,g6-c2-c2-prime,6,C2,6-c2-prime,质数与合数,认识质数与合数，并能判断。,下列各数中是质数的是？（答案：7）,,,5,active
c2-factor,g6-c2-c2-factor,6,C2,6-c2-factor,因数与倍数,理解因数与倍数相互依存的关系。,6的因数有？（答案：1、2、3、6）,,,5,active
c2-remainder,g6-c2-c2-remainder,6,C2,6-c2-remainder,余数问题,解决带余除法的应用问题。,□÷5=3……2，□=?（答案：17）,,,5,active
c2-place,g6-c2-c2-place,6,C2,6-c2-place,位值原理,利用数字所在数位的值进行推理。,一个两位数，十位是个位的2倍，它可能是哪些数？,,,5,active
c3-enum,g6-c3-c3-enum,6,C3,6-c3-enum,枚举法,有次序地一一列举出所有可能。,用1、2、3能组成几个无重复数字的两位数？（答案：6个）,,,5,active
c3-am,g6-c3-c3-am,6,C3,6-c3-am,加法与乘法原理,分类用加法原理，分步用乘法原理计数。,上衣3件、裤子2件，共有几种穿法？（答案：6种）,,,5,active
c3-perm,g6-c3-c3-perm,6,C3,6-c3-perm,排列组合初步,初步认识排列与组合的区别。,从3人中选2人排成一排有几种？（答案：6种）,,,5,active
c3-geomcount,g6-c3-c3-geomcount,6,C3,6-c3-geomcount,几何计数,数出图形中的线段、角、三角形个数。,一条线段上有4个点，共有几条线段？（答案：10条）,,,5,active
c3-worst,g6-c3-c3-worst,6,C3,6-c3-worst,最不利原则,考虑最坏情况，保证结论必然成立。,两色球各若干，至少拿几个保证同色？（答案：3个）,,,5,active
c5-basic,g6-c5-c5-basic,6,C5,6-c5-basic,基本行程,用路程=速度×时间解决基本行程问题。,速度4米/秒，走10秒，路程？（答案：40米）,,,5,active
c5-meet,g6-c5-c5-meet,6,C5,6-c5-meet,相遇问题,两人相向而行，路程和=速度和×时间。,相距100米，两人速度和10，几秒相遇？（答案：10秒）,,,5,active
c5-chase,g6-c5-c5-chase,6,C5,6-c5-chase,追及问题,同向而行，追及时间=路程差÷速度差。,甲速6、乙速4，相差20米，几秒追上？（答案：10秒）,,,5,active
c5-train,g6-c5-c5-train,6,C5,6-c5-train,火车过桥,考虑车长，路程=桥长+车长。,车长100米过200米桥，完全通过要走？（答案：300米）,,,5,active
c5-river,g6-c5-c5-river,6,C5,6-c5-river,流水行船,顺速=静水速+水速，逆速=静水速-水速。,静水速10、水速2，顺水速度？（答案：12）,,,5,active
c4-pa,g6-c4-c4-pa,6,C4,6-c4-pa,周长与面积,理解周长与面积的区别与联系。,边长为4的正方形，周长和面积各是？（答案：周长16，面积16）,,,5,active
c4-cutfill,g6-c4-c4-cutfill,6,C4,6-c4-cutfill,割补法,用割补法把不规则图形转化为规则图形求面积。,把不规则图形割补成长方形求面积。,,,5,active
c4-angle,g6-c4-c4-angle,6,C4,6-c4-angle,角度初步,认识角度的计算与和差关系。,∠1+∠2=90°，∠1=30°，∠2=?（答案：60°）,,,5,active
c4-count,g6-c4-c4-count,6,C4,6-c4-count,图形计数,有次序地数出图形的个数。,数出图中三角形的个数。,,,5,active
c4-transform,g6-c4-c4-transform,6,C4,6-c4-transform,平移旋转与对称,认识图形的对称、平移与旋转。,判断下列图形是否轴对称。,,,5,active
c4-solid,g6-c4-c4-solid,6,C4,6-c4-solid,立体图形初步,认识常见立体图形的特征与展开图。,正方体有几个面？（答案：6个）,,,5,active
c6-work,g6-c6-c6-work,6,C6,6-c6-work,工程问题,把总工作量看成单位1，合作效率=效率和，合作时间=1÷效率和。,甲6天、乙3天完成，合作几天？（答案：2天）,,,5,active
c6-concentration,g6-c6-c6-concentration,6,C6,6-c6-concentration,浓度问题,含盐率=盐重÷盐水总重，混合与稀释均按此计算。,100克10%盐水加100克水，含盐率？（答案：5%）,,,5,active
c7-telescope,g6-c7-c7-telescope,6,C7,6-c7-telescope,裂项相消,把每一项拆成两个分数之差，相加时首尾相消。,1/(1×2)+1/(2×3)+…+1/(9×10)=?（答案：9/10）,,,5,active
c7-complex,g6-c7-c7-complex,6,C7,6-c7-complex,繁分数化简,多层分式从最里层逐层通分，除以分数等于乘它的倒数。,1÷(2+1/3)=?（答案：3/7）,,,5,active
c7-clever,g6-c7-c7-clever,6,C7,6-c7-clever,分数巧算,提取公因数、连乘约分、等比凑整等速算技巧。,(1-1/2)×(1-1/3)×…×(1-1/10)=?（答案：1/10）,,,5,active
c7-pattern,g6-c7-c7-pattern,6,C7,6-c7-pattern,分数数列规律,由前几项归纳通项公式，再求指定项。,1/2、2/3、3/4、4/5…第10项是?（答案：10/11）,,,5,active
